file,caption
Hélène Yousse Terres (Vers Ailleurs) Rocher 3 - H35.19.9 cm H.jpg,Colection Terres (Vers Ailleurs) Rocher 3 - 19 x 9 x H 35 cm
Hélène Yousse Terres (Vers Ailleurs) Rocher 3 - H35.19.9 cm J.jpg,Colection Terres (Vers Ailleurs) Rocher 3 - 19 x 9 x H 35 cm
HélèneYousse - Terres (Pèlerins) A.jpg,Colection Terres (Pélerins)
HélèneYousse - Terres (Pèlerins) AA.jpg,Colection Terres (Pélerins)
HélèneYousse - Terres (Pèlerins) AAA.jpg,Colection Terres (Pélerins)
HélèneYousse - Terres (Pèlerins) AAAA.jpg,Colection Terres (Pélerins)
HélèneYousse Pélerins 9 1 - Terracota - 29.8.H15 1.jpg,Colection Terres (Pélerins) Pélerins 9 - 29 x 8 x H 15 cm
HélèneYousse Pélerins 9 1 - Terracota - 29.8.H15 3.jpg,Colection Terres (Pélerins) Pélerins 9 - 29 x 8 x H 15 cm
HélèneYousse Pélerins 9 2 - Terracota - 29.8.H15 4.jpg,Colection Terres (Pélerins) Pélerins 9 - 29 x 8 x H 15 cm
HélèneYousse Pélerins 9 2 - Terracota - 29.8.H15 7.jpg,Colection Terres (Pélerins) Pélerins 9 - 29 x 8 x H 15 cm
HélèneYousse Terres (Vers Ailleurs) 30 - D1.jpg,Colection Terres (Vers Ailleurs) 30
HélèneYousse Terres (Vers Ailleurs) 30 - D2.jpg,Colection Terres (Vers Ailleurs) 30
HélèneYousse-Terres (Vers Ailleurs) 19 - 19x9xH16 C.jpg,Colection Terres (Vers Ailleurs) 19 - 19 x 9 x H 16 cm
HélèneYousse-Terres (Vers Ailleurs) 20 B - 25x8xH14.jpg,Colection Terres (Vers Ailleurs) 20 - 25 x 8 x H 14 cm

004.jpg,Colection Terres ( non disponible ) \n Photo: J.C Pratt
005.jpg,Colection Terres ( non disponible ) \n Photo: J.C Pratt
006.jpg,Colection Terres ( non disponible ) \n Photo: J.C Pratt
008.jpg,Colection Terres ( non disponible ) \n Photo: J.C Pratt
009.jpg,Colection Terres ( non disponible ) \n Photo: J.C Pratt
010.jpg,Colection Terres ( non disponible ) \n Photo: J.C Pratt
011.jpg,Colection Terres ( non disponible ) \n Photo: J.C Pratt
012.jpg,Colection Terres ( non disponible ) \n Photo: J.C Pratt
013.jpg,Colection Terres ( non disponible ) \n Photo: J.C Pratt
014.jpg,Colection Terres ( non disponible ) \n Photo: J.C Pratt
015.jpg,Colection Terres ( non disponible ) \n Photo: J.C Pratt
016.jpg,Colection Terres ( non disponible ) \n Photo: J.C Pratt
017.jpg,Colection Terres ( non disponible ) \n Photo: J.C Pratt
018.jpg,Colection Terres ( non disponible ) \n Photo: J.C Pratt
019.jpg,Colection Terres ( non disponible ) \n Photo: J.C Pratt
020.jpg,Colection Terres ( non disponible ) \n Photo: J.C Pratt
(animals) 10  a 22x8xH18.jpg,Animals 10 - 22 x 8 x H 18 cm \n Photo: J.C Pratt
(animals) 10  b 22x8xH18.jpg,Animals 10 - 22 x 8 x H 18 cm \n Photo: J.C Pratt
(Pelerins) 7 a 27x12.5x H17.5.jpg,Pélerins 7 - 27 x 12.5 x H 17.5 cm \n Photo: J.C Pratt
(Pelerins) 7 b 27x12.5x H17.5.jpg,Pélerins 7 - 27 x 12.5 x H 17.5 cm \n Photo: J.C Pratt
(Pelerins) 7 c 27x12.5x H17.5.jpg,Pélerins 7 - 27 x 12.5 x H 17.5 cm \n Photo: J.C Pratt
(Pelerins) 8 a 26x14.5x H13.5.jpg,Pélerins 8 - 26 x 14.5 x H 13.5 cm \n Photo: J.C Pratt
(Pelerins) 8 b 26x14.5x H13.5.jpg,Pélerins 8 - 26 x 14.5 x H 13.5 cm \n Photo: J.C Pratt
(Pelerins) 8 c 26x14.5x H13.5.jpg,Pélerins 8 - 26 x 14.5 x H 13.5 cm \n Photo: J.C Pratt
(Pelerins) 8 d 26x14.5x H13.5.jpg,Pélerins 8 - 26 x 14.5 x H 13.5 cm \n Photo: J.C Pratt
(Pelerins) 9 a 29x8x H15.jpg,Pélerins 9 - 29 x 8 x H 15 cm \n Photo: J.C Pratt
(Pelerins) 9 b 29x8x H15.jpg,Pélerins 9 - 29 x 8 x H 15 cm \n Photo: J.C Pratt
(Pelerins) 9 c 29x8x H15.jpg,Pélerins 9 - 29 x 8 x H 15 cm \n Photo: J.C Pratt
(Souris) 12A 18x8x H16.jpg,Souris 12 - 18 x 8 x H 16 cm \n Photo: J.C Pratt
(Tour) 11A 15x15x H28.jpg,Tour 11 - 15 x 15 x H 28 cm \n Photo: J.C Pratt

01 Quais du Belvedere - Lac de Montreux Suisse Photo H.Yousse.jpg,Quais du Belvedère - Lac de Montreux Suisse \n Photo : H.Yousse
04 Bronze (detail) patine blanchep hoto T.Bodin.jpg,Bronze (détail) patine blanche \n Photo : T.Bodin
05 Bronzes numerotes patine blanche Photo JM. Oliveras.jpg,Bronzes numérotés patine blanche \n Photo : J.M.Oliveras
14 Bronze numerote patine noire Photo T.Bodin.jpg,Bronze numéroté patine noire \n Photo : T.Bodin
16 Bronze numerote patine blanche photo T.Bodin.jpg,Bronze numéroté patine blanche \n Photo : T.Bodin
22 Bronze (detail) patine noire photo T.Bodin.jpg,Bronze (détail) patine noire \n Photo : T.Bodin
08 Bronze numerote patine noire Photo H.Yousse.jpg,Bronze pièce patine noire \n Photo : H.Yousse
37 Bronze numerote patine noire Photo T.Bodin.jpg,Bronze numéroté patine noire \n Photo : T.Bodin
